,Entry,Ref,Linkage formed,"Acceptor
size",(eq .),"Donor
size",(eq .).1,"Yield
(%)",a : B,"Glycosyl
Donor","Neighbouring
group",Activator,Solvent,temperature_C,donor_type,acceptor_type,solvent_smiles,donor_conf,lg,C2_smiles,activator,Major True,Minor True,Conf positive(%) True
85,658,152,Neu5Ac (2 → 3) GalNAc,1,(NR),1,(NR),61,6.7:1,SMe,H,"CH3SBr,AgOTf","MeCN,DCM",,pyranose,O,"['CC#N', 'CC(Cl)Cl']","[0, 0, -1, 1, -1]",[*]SC,*[H],CSBr  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,87.01298701298700
86,264,54,Glc (1-4) Glc,1,1.15,1,1,88,6:31,Me2P=S,OBn,"ZnCl2,AgClO4",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Zn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],1,1,83.78378378378380
87,311,172,Glc (16) Gal,1,1,1,1,67,7:1,tetrazol,OBn,TMSOTf,Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,12.5
88,349,172,Glc (1-6) Glc,1,1,1,1,66,7:1,tetrazol,OBn,TMSOTf,Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,12.5
89,667,23,Neu5Ac (2-6) Gal - hep,1,1,1,1.9,~ 60,7:2,SMe,H,"MSB,AgOTf",MeCN,-50,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC,*[H],CSBr .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,77.77777777777780
90,254,2,Glc (1-4) Glc,1,(NR),1,(NR),73,8:1,fluoride,OBn,"SnCl2,AgClO4,DTBP",Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Sn]Cl.[O-]Cl(=O)(=O)=O.[Ag+].CC(C)(C)C1=NC(=CC=C1)C(C)(C)C,-1,1,11.11111111111110
92,322,10,Glc (1-6) Glc,1,1,1,1.5,65,9:1,fluoride,OBn,"SnCl2,AgClO4",Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Sn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],-1,1,10.0
93,390,160,Glc [ 5S ] (1 → 2) Glc,1,2,1,1,80,9:1,imidate,OAc,TESOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,-1,1,10.0
94,398,72,GlcA (1-3) Gal,3,1,1,2.4,40,9:1,chloride,OBn,HgBr2,DCE,,pyranose,O,['C(CCl)Cl '],"[0, -1, 1, -1, 1]",*Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Br[Hg]Br,-1,1,10.0
95,640,35,Neu5 Ac (2-3) Gal,2,1.5,1,1,40,9:1,xanthate,H,"MSB,AgOTf","MeCN,DCM",-60,pyranose,O,"['CC#N', 'CC(Cl)Cl']","[0, 0, -1, 1, -1]",[*]SC(SCC)=S,*[H],CSBr .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,90.0
96,144,84,Gal (1-4) iDOA,1,(NR),1,(NR),41,9:2,SEt,OBz,"NIS,TfOH",DCM,0,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",[*]SCC,*OC(=O)C1=[CH][CH]=[CH][CH]=[CH]1,C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,-1,1,18.181818181818200
97,169,66,GalNAc (1-3) GalNAc,1,1,1,2,71,9:2,bromide,N3,AgOTf,toluene,-10,pyranose,O,['Cc1ccccc1'],"[0, -1, 1, 1, 1]",*Br,*N=[N+]=[N-],C(F)(F)(F)S(=O)(=O)[O-].[Ag+],-1,1,18.181818181818200
98,260,54,Glc (1-4) Glc,1,1.15,1,1,43,9:11,Me2P=S,OBn,"NIS,TfOH",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,1,1,55.00000000000000
99,165,65,GalNAc (1-3) Gal,2,1,1,1.5,78,8:92,chloride,NPhth,"AgOTf,TMU",DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*Cl,*N1C(=O)C2=[CH][CH]=[CH][CH]=C2C1=O,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,1,1,92.0
100,43,30,fUC (1 + 3) GlcNAc,1,1,1,1,53,10:1,dibenzylphosphite,OAc,TMSOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",[*]OP(OCC1=CC=CC=C1)OCC2=CC=CC=C2,*OC([CH3])=O,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,90.9090909090909
101,203,73,Glc (1 → 2) Glc,1,1,1,1,95,10: 1,bromide,OBn,Hg(CN)2,MeCN,20,pyranose,O,['CC#N'],"[0, -1, 1, -1, 1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C(#N)[Hg]C#N ,-1,1,9.090909090909090
102,239,49,Glc (1 → 3) Man,1,1,1,1.4,80,10:1,bromide,OBn,TBABr,,,pyranose,O,,"[0, -1, 1, -1, 1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,-1,1,9.090909090909090
103,389,160,Glc [ 5S ] (1 →→ 2) Glc,1,1,1,1.2,40,10:1,imidate,OAc,TESOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,-1,1,9.090909090909090
104,367,57,Glc (1 → 6) Glc,1,1,1,1.3,100,10:90,SMe,OBn,"PhSeNPhth,TMSOTf",toluene,-45,pyranose,O,['Cc1ccccc1'],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,90.0
106,81,106,Gal (1-3) GalNAc,1,1,1,1.5,58,13:1,bromide,OAc,Hg(CN)2,"nitromethane,toluene",20,pyranose,O,"['C[N+](=O)[O-]  ', 'Cc1ccccc1']","[0, -1, 1, 1, 1]",*Br,*OC([CH3])=O,C(#N)[Hg]C#N ,-1,1,7.142857142857140
107,94,146,Gal (1-3) Glc,1,1,I,1,33,12:68,fluoride,OBz,BF3-OEt2,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*F,*OC(=O)C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,1,1,85.0
108,365,7,Glc (1 → 6) Glc,1,1,1,2,88,13:87,SPyr,OBn,"Pd,AgOTf","DCM,MeCN",0,pyranose,O,"['CC(Cl)Cl', 'CC#N']","[0, -1, 1, -1, 1]",[*]SC1=NC=CC=C1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,[Pd]  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,87.0
109,166,65,GalNAc (1-3) Gal,3,1,1,1.5,35,15:85,chloride,NPhth,"AgOTf,TMU",DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*Cl,*N1C(=O)C2=[CH][CH]=[CH][CH]=C2C1=O,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,1,1,85.0
110,95,146,Gal (1-3) Glc,1,1,1,1.1,80,20:80,imidate,OBz,TMSOTf,MeCN,-20,pyranose,O,['CC#N'],"[0, -1, 1, 1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC(=O)C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,80.0
111,368,57,Glc (16) Glc,1,1,1,1.3,91,21:79,SMe,OBn,"PhSeNPhth,TMSOTf",DCM,-45,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,79.0
112,585,63,Man (1-4) GlcNAc,1,1,1,1,45,22:78,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, 1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,1,1,78.0
113,709,63,rHA (1 → 6) Glc,1,NR,1,(NR),52,23:77,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, -1, -1, 1, -1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,-1,1,23.0
114,267,5,Glc (1-4) Glc,5,1,--,,37,27:10,SMe,OBn,MeOTf,THF,20,pyranose,O,['C1CCOC1 '],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,COS(=O)(=O)C(F)(F)F  ,-1,1,27.027027027027000
115,200,156,Glc (11) gLU,1,1,1,1.1,49,35:14,imidate,OBn,TMSOTf,DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,28.57142857142860
117,272,57,Glc (1-4) Glc,1,1,1,1.3,94,41:59,SMe,OBn,"PhSeNPhth,TMSOTf",DCM,-45,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,59.0
118,268,7,Glc (1-4) Glc,1,1,1,2,93,42:58,SPyr,OBn,"Pd,AgOTf","DCM,MeCN",0,pyranose,O,"['CC(Cl)Cl', 'CC#N']","[0, -1, 1, -1, 1]",[*]SC1=NC=CC=C1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,[Pd]  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,58.00000000000000
119,610,63,Man (1-6) Glc,1,1,1,1,44,43:57,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, 1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,1,1,57.00000000000000
120,269,57,Glc (1-4) Glc,1,1,1,1.1,89,45:55,SMe,OBn,"PhSeNPhth,TMSOTf",toluene,20,pyranose,O,['Cc1ccccc1'],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,55.00000000000000
121,708,63,rHA (1 → 6) Glc,1,1,1,1,50,45:55,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, -1, -1, 1, -1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,-1,1,45.0
122,395,2,Glc [ 5S ] (1 → 4) Glc [ 4Se ],1,2,1,1,57,46:11,imidate,OAc,TESOTf,,,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,-1,1,19.298245614035100
123,266,5,Glc (1-4) Glc,W 3,1,2,1.25,61,49:12,SMe,OBn,MeOTf,THF,20,pyranose,O,['C1CCOC1 '],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,COS(=O)(=O)C(F)(F)F  ,-1,1,19.672131147541000
124,396,22,Glc [ 5S ] (1 → 4) Glc [ 4S ],1,2,1,1,55,53:2,imidate,OAc,TESOTf,,-78,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,-1,1,3.6363636363636400
125,704,63,rHA (16) Gal,1,1,1,1,81,53:47,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, -1, -1, 1, -1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,1,1,53.0
126,271,57,Glc (1-4) Glc,1,1,1,1.3,99,54:46,SMe,OBn,"PhSeNPhth,TMSOTf",DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,46.0
127,339,64,Glc (1 → 6) Glc,2,1,2,1,65,55:10,fluoride,OBn,"SnCl2,AgClO4","DCM,Et2O",-15,pyranose,O,"['CC(Cl)Cl', 'CCOCC']","[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Sn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],-1,1,15.384615384615400
128,196,156,Glc (11) Gal,1,1,1,1.1,90,55:45,imidate,OBn,TMSOTf,DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,45.0
129,734,108,Xyl [ 4d ] (1 → 4) Gal,2,1,1,1.2,64,57:7,fluoride,OBn,"SnCl2,AgClO4",,,pyranose,O,,"[0, -1, 1, 0, 0]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Sn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],1,1,89.0625
130,24,132,fUC (1-2) Gal,2,1,1,1.1,78,58:14,imidate,OBn,ZnCl2-OEt2,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Sn]Cl.CCO(CC),1,1,80.55555555555560
131,278,176,Glc (1-4) GlcA,4,1,1,1.8,74,64:10,imidate,OCH3,TMSOTf,,,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,13.513513513513500
132,364,7,Glc (1 → 6) Glc,1,1,1,2,93,65:35,SPyr,OBn,"Pd,AgOTf",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]SC1=NC=CC=C1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,[Pd]  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],-1,1,35.0
133,262,54,Glc (1-4) Glc,1,0.5,1,1,100,66:34,Me2P=S,OBn,"ZnCl2,AgClO4",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Zn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],-1,1,34.0
134,263,54,Glc (1-4) Glc,1,0.5,1,1,86,66:34,Me2P=S,OBn,"ZnCl2,AgClO4",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Zn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],-1,1,34.0
135,327,38,Glc (16) Glc,1,1,1,1.1,67,66:34,fluoride,OBn,BF3-OEt2,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,-1,1,34.0
136,341,64,Glc (16) Glc,2,1.2,2,1,88,67:21,imidate,OBn,TMSOTf,,,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,23.863636363636400
137,261,54,Glc (1-4) Glc,1,1.15,1,1,81,68:32,Me2P=S,OBn,"ZnCl2,AgClO4",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Zn]Cl.[O-]Cl(=O)(=O)=O.[Ag+],-1,1,32.0
138,703,63,rHA (1-4) rHA,1,1,1,1,46,69:31,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, -1, -1, 1, -1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,1,1,69.0
139,328,38,Glc (1 → 6) Glc,1,1,1,1.1,20,70:30,fluoride,OBn,BF3-OEt2,Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,-1,1,30.0
140,329,38,Glc (1-6) Glc,1,1,1,1.1,62,71:29,fluoride,OBn,TMSOTf,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,29.000000000000000
141,265,5,Glc (1-4) Glc,2 N,1,1,1.2,93,75:18,SEt,OBn,MeOTf,DCE,20,pyranose,O,['C(CCl)Cl '],"[0, -1, 1, -1, 1]",[*]SCC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,COS(=O)(=O)C(F)(F)F  ,-1,1,19.35483870967740
142,445,169,GlcNAc (1-4) deoxyNojir,1,NR,1,(NR),92,77:15,SPh,N3,"NIS,TfOH",,,pyranose,O,,"[0, -1, 1, -1, 1]",[*][S]C1=CC=CC=C1,*N=[N+]=[N-],C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,-1,1,16.304347826087000
143,581,57,Man (14) Glc,1,1,1,1.2,80,81:19,SMe,OBn,"PhSeNPhth,TMSOTf",toluene,-45,pyranose,O,['Cc1ccccc1'],"[0, 1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,19.0
144,240,49,Glc (1 → 3) Man,1,1,1,1.1,88,82:6,imidate,OBn,BF3-OEt2,,,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,-1,1,6.8181818181818200
145,648,35,Neu5Ac (2-3) Gal,2,1.5,1,1,33,88:12,SMe,SPh,"NIS,TfOH",MeCN,-40,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC,[*][S]C1=CC=CC=C1,C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,1,1,88.0
146,330,38,Glc (16) Glc,1,1,1,1.1,54,90:10,fluoride,OBn,TMSOTf,Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,10.0
156,602,63,Man (16) Gal,1,1,1,1,39,24:76,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, 1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,1,1,76.0
157,270,57,Glc (1-4) Glc,I,1,1,1.4,99,31:69,SMe,OBn,"PhSeNPhth,TMSOTf",toluene,-45,pyranose,O,['Cc1ccccc1'],"[0, -1, 1, -1, 1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,O=C(C1=C2C=CC=C1)N(C2=O)[Se]C3=CC=CC=C3.C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,69.0
158,705,63,rHA (1-6) Gal,1,NR,1,(NR),61,35:65,Me2P=S,OBn,"TrtClO4,I2",Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, -1, -1, 1, -1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCl(=O)(=O)=O.II,-1,1,35.0
159,1,130,Ara (1-3) GlcNAc,4,1,1,6.7,76,a,bromide,OBn,TBABr,DCM,25,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, 0]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,-1,0,0.0
160,6,4,aRA [ 5S ] (1 → 6) Gal,1,(NR),1,(NR),30,a,bromide,OAc,"AgOTf,TMU",DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 0]",*Br,*OC([CH3])=O,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,1,0,100.0
161,10,105,fUC (1-2) Gal,1,1,1,5.4,77,a,bromide,OBn,TBABr,"DCM,DMF",20,pyranose,O,"['CC(Cl)Cl', 'CN(C)C=O']","[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
162,11,105,fUC (1-2) Gal,1,1,1,6.7,30,a,bromide,OBn,TBABr,"DCM,DMF",20,pyranose,O,"['CC(Cl)Cl', 'CN(C)C=O']","[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
163,11,80,Gal (1-3 / 4) GlcNAc,1,1,1,1,86,a,imidate,OAc,BF3-OEt2,"DCM,hexane",-25,pyranose,O,"['CC(Cl)Cl', 'CCCCCC']","[0, -1, 1, 1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CCO(CC).[B-](F)(F)F,-1,0,0.0
164,12,105,fUC (1-2) Gal,1,1,1,4,81,a,bromide,OBn,TBABr,"DCM,DMF",20,pyranose,O,"['CC(Cl)Cl', 'CN(C)C=O']","[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
165,13,133,fUC (1-2) Gal,2,1,1,2.4,64,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
166,14,133,fUC (1-2) Gal,2,1,1,2.4,70,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
167,15,133,fUC (1-2) Gal,2,1,1,2.4,78,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
168,16,133,fUC (1-2) Gal,2,1,1,2.4,65,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
169,17,133,fUC (1-2) Gal,2,1,1,2.4,61,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
170,18,133,fUC (1-2) Gal,2,1,1,2.4,96,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
171,19,133,fUC (1-2) Gal,2,1,1,2.4,94,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
172,20,133,fUC (1-2) Gal,2,1,1,2.4,87,a,bromide,OBn,TBABr,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, -1, -1, -1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,1,0,100.0
